epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1333.35,0.10606,3.35015,0.91992,0.34835,0.39191,0.3122,0.31161,0.09872,2.10984,0.22543,0.00333193,0.00333193,0.00333193
2,2576.21,0.08831,2.35055,0.89335,0.39816,0.45611,0.40974,0.40572,0.23001,1.8947,0.31326,0.0060054,0.0060054,0.0060054
3,3919.46,0.09031,2.16148,0.89358,0.36316,0.42112,0.37515,0.36122,0.3165,1.96924,0.37558,0.00801887,0.00801887,0.00801887
4,5242.35,0.07539,1.95421,0.88774,0.51483,0.50022,0.51581,0.50165,0.29365,1.58294,0.3559,0.00703,0.00703,0.00703
5,6629.09,0.05636,1.69198,0.88225,0.58573,0.58278,0.61857,0.60708,0.26398,1.37201,0.33359,0.00604,0.00604,0.00604
6,7758.36,0.04601,1.52172,0.88124,0.64051,0.62493,0.67358,0.66204,0.26297,1.21975,0.3306,0.00505,0.00505,0.00505
7,8898.46,0.03806,1.38533,0.88086,0.67229,0.65353,0.71025,0.69675,0.24341,1.16546,0.31686,0.00406,0.00406,0.00406
8,10140.6,0.03198,1.2671,0.87772,0.70941,0.67779,0.73985,0.73331,0.22709,1.11951,0.30301,0.00307,0.00307,0.00307
9,11351.9,0.02693,1.151,0.87834,0.72396,0.69147,0.75737,0.74881,0.21371,1.09121,0.29382,0.00208,0.00208,0.00208
10,12700.3,0.02237,1.0456,0.8772,0.73839,0.69532,0.76737,0.76101,0.20464,1.07139,0.28566,0.00109,0.00109,0.00109
